Draw Date,Winning Numbers,Multiplier
02/09/2019,01 02 03 07 39 25,3
02/06/2019,05 13 28 38 63 21,5
02/02/2019,10 17 18 43 65 13,5
01/30/2019,02 12 16 29 54 06,2
01/26/2019,08 12 20 21 32 10,4
01/23/2019,23 25 47 48 50 24,3
01/19/2019,05 08 41 65 66 20,3
01/16/2019,14 29 31 56 61 01,2
01/12/2019,07 36 48 57 58 24,2
01/09/2019,06 19 37 49 59 22,3
01/05/2019,03 07 15 27 69 19,2
01/02/2019,08 12 42 46 56 12,2
12/29/2018,12 42 51 53 62 25,2
12/26/2018,05 25 38 52 67 24,2
12/22/2018,21 28 30 40 59 26,3
12/19/2018,15 29 31 37 43 16,2
12/15/2018,08 38 43 52 55 17,3
12/12/2018,04 09 21 29 64 26,2
12/08/2018,14 32 34 46 61 10,2
12/05/2018,09 11 36 37 38 11,5
12/01/2018,10 11 47 55 58 26,2
11/28/2018,04 19 59 68 69 21,2
11/24/2018,11 33 51 56 58 18,2
11/21/2018,07 14 23 38 55 18,2
11/17/2018,06 08 20 52 68 05,2
11/14/2018,07 42 49 62 69 23,5
11/10/2018,05 29 34 53 57 24,2
11/07/2018,26 28 34 42 50 25,2
11/03/2018,15 21 24 32 65 11,3
10/31/2018,07 25 39 40 47 20,3
10/27/2018,08 12 13 19 27 04,3
10/24/2018,03 21 45 53 56 22,2
10/20/2018,16 54 57 62 69 23,2
10/17/2018,03 57 64 68 69 15,3
10/13/2018,11 14 32 43 65 15,3
10/10/2018,08 23 27 42 60 07,3
10/06/2018,01 22 27 53 67 15,3
10/03/2018,41 53 59 63 66 03,3
09/29/2018,09 17 34 59 64 22,2
09/26/2018,01 02 07 30 50 08,5
09/22/2018,24 61 63 64 69 18,5
09/19/2018,04 39 48 50 51 11,3
09/15/2018,02 18 19 24 34 03,3
09/12/2018,06 28 48 63 64 24,2
09/08/2018,03 13 20 32 33 21,3
09/05/2018,06 15 50 59 60 13,2
09/01/2018,11 54 55 61 66 09,3
08/29/2018,25 41 53 57 67 12,2
08/25/2018,20 25 54 57 63 08,2
08/22/2018,01 07 45 47 69 13,2
08/18/2018,24 34 52 61 67 16,3
08/15/2018,12 15 28 47 48 16,2
08/11/2018,05 43 56 62 68 24,2
08/08/2018,10 21 30 43 63 17,2
08/04/2018,03 11 38 44 58 02,4
08/01/2018,05 22 32 38 58 26,2
07/28/2018,22 27 46 56 65 13,2
07/25/2018,02 18 41 44 64 26,2
07/21/2018,09 23 56 58 68 01,2
07/18/2018,01 10 27 28 36 12,2
07/14/2018,22 41 42 49 67 11,3
07/11/2018,19 21 27 46 47 07,4
07/07/2018,01 10 43 45 64 22,3
07/04/2018,04 07 15 41 44 10,2
06/30/2018,03 09 20 42 61 24,2
06/27/2018,07 28 37 62 63 15,2
06/23/2018,16 29 43 45 56 25,2
06/20/2018,04 14 23 27 56 13,2
06/16/2018,09 45 57 58 65 09,2
06/13/2018,13 20 38 45 55 01,2
06/09/2018,06 10 15 25 36 14,3
06/06/2018,23 28 41 53 56 14,3
06/02/2018,23 25 37 44 64 07,4
05/30/2018,17 23 26 46 68 20,2
05/26/2018,01 21 31 45 49 21,2
05/23/2018,20 54 56 61 64 07,4
05/19/2018,03 06 09 17 56 25,3
05/16/2018,17 19 21 22 51 19,2
05/12/2018,22 42 45 55 56 14,3
05/09/2018,11 16 38 50 69 19,2
05/05/2018,14 29 36 57 61 17,4
05/02/2018,05 14 31 40 50 06,2
04/28/2018,20 22 28 45 50 08,5
04/25/2018,17 18 39 56 64 12,3
04/21/2018,40 50 54 62 69 19,2
04/18/2018,09 10 12 17 23 09,2
04/14/2018,17 19 26 61 62 15,2
04/11/2018,16 18 27 55 67 18,3
04/07/2018,02 17 20 38 39 20,2
04/04/2018,08 24 42 54 64 24,4
03/31/2018,08 24 52 55 61 21,3
03/28/2018,06 08 26 52 53 21,2
03/24/2018,10 33 45 53 56 24,3
03/21/2018,03 04 18 29 61 25,2
03/17/2018,22 57 59 60 66 07,2
03/14/2018,06 12 24 41 68 09,3
03/10/2018,43 44 54 61 69 22,3
03/07/2018,06 13 19 36 51 18,2
03/03/2018,13 17 25 36 40 05,2
02/28/2018,12 30 59 65 69 16,5
02/24/2018,24 25 38 62 63 06,2
02/21/2018,07 15 31 34 36 08,3
02/17/2018,13 26 39 44 62 02,3
02/14/2018,37 39 44 46 69 26,2
02/10/2018,01 13 27 41 59 20,5
02/07/2018,23 34 35 40 47 10,2
02/03/2018,15 23 27 48 53 06,2
01/31/2018,04 07 14 46 59 22,10
01/27/2018,17 21 26 47 54 07,2
01/24/2018,05 09 11 33 64 21,3
01/20/2018,26 28 47 49 58 03,4
01/17/2018,03 33 37 51 57 21,2
01/13/2018,14 25 35 58 69 24,2
01/10/2018,07 24 33 49 50 04,5
01/06/2018,12 61 30 29 33 26,3
01/03/2018,02 18 37 39 42 12,3
12/30/2017,28 36 41 51 58 24,2
12/27/2017,03 09 16 56 60 03,3
12/23/2017,01 03 13 15 44 25,2
12/20/2017,01 20 61 64 69 20,2
12/16/2017,09 35 37 50 63 11,2
12/13/2017,02 24 28 51 58 07,3
12/09/2017,25 36 37 55 60 06,5
12/06/2017,19 20 50 55 62 09,2
12/02/2017,28 30 32 36 58 06,3
11/29/2017,24 26 28 59 63 16,3
11/25/2017,08 13 27 53 54 04,2
11/22/2017,35 37 46 51 61 13,2
11/18/2017,17 28 31 32 39 26,3
11/15/2017,23 32 44 48 50 25,2
11/11/2017,04 06 16 30 56 18,2
11/08/2017,12 14 20 21 34 22,2
11/04/2017,12 14 26 48 51 13,3
11/01/2017,03 06 19 26 44 01,2
10/28/2017,27 35 38 57 66 10,2
10/25/2017,18 22 29 54 57 08,3
10/21/2017,14 41 42 45 69 04,2
10/18/2017,30 49 54 66 69 08,2
10/14/2017,32 37 56 66 69 11,3
10/11/2017,01 03 13 19 69 23,2
10/07/2017,10 49 61 63 65 07,2
10/04/2017,22 23 62 63 66 24,2
09/30/2017,08 12 25 41 64 15,3
09/27/2017,08 10 21 23 25 22,3
09/23/2017,24 45 55 56 57 19,2
09/20/2017,39 48 53 67 68 26,3
09/16/2017,17 18 24 25 31 24,2
09/13/2017,17 24 35 57 63 19,3
09/09/2017,06 20 29 57 59 22,2
09/06/2017,08 14 32 58 67 17,3
09/02/2017,06 21 41 52 62 26,2
08/30/2017,19 28 43 67 69 07,2
08/26/2017,07 15 32 38 66 15,2
08/23/2017,06 07 16 23 26 04,4
08/19/2017,17 19 39 43 68 13,4
08/16/2017,09 15 43 60 64 04,3
08/12/2017,20 24 26 35 49 19,2
08/09/2017,12 30 36 47 62 09,4
08/05/2017,11 21 28 33 45 11,2
08/02/2017,01 16 54 63 69 18,3
07/29/2017,01 28 40 45 48 12,2
07/26/2017,07 19 21 42 69 12,2
07/22/2017,05 32 44 53 60 09,3
07/19/2017,50 51 59 61 63 04,5
07/15/2017,09 40 63 64 66 17,2
07/12/2017,01 02 18 23 61 09,2
07/08/2017,08 10 29 40 59 26,2
07/05/2017,04 09 16 54 68 21,2
07/01/2017,19 42 45 48 53 16,3
06/28/2017,29 37 46 53 68 08,2
06/24/2017,10 22 32 36 58 10,4
06/21/2017,14 46 61 65 68 13,2
06/17/2017,10 13 32 53 62 21,2
06/14/2017,05 22 43 57 63 24,2
06/07/2017,05 21 57 66 69 13,3
06/03/2017,03 09 21 41 54 25,4
05/31/2017,04 33 39 46 60 06,2
05/27/2017,05 10 28 55 67 09,3
05/24/2017,28 32 33 38 62 15,2
05/20/2017,05 22 45 47 54 03,2
05/17/2017,04 11 39 45 48 09,3
05/13/2017,17 20 32 63 68 19,5
05/10/2017,29 31 46 56 62 08,2
05/06/2017,11 21 31 41 59 21,3
05/03/2017,17 18 49 59 66 09,2
04/29/2017,22 23 24 45 62 05,2
04/26/2017,01 15 18 26 51 26,4
04/22/2017,21 39 41 48 63 06,3
04/19/2017,01 19 37 40 52 15,3
04/15/2017,05 22 26 45 61 13,3
04/12/2017,08 14 61 63 68 24,2
04/08/2017,23 36 51 53 60 15,2
04/05/2017,08 20 46 53 54 13,2
04/01/2017,09 32 36 44 65 01,3
03/29/2017,08 15 31 36 62 11,3
03/25/2017,18 31 32 45 48 16,4
03/22/2017,02 09 27 29 42 09,2
03/18/2017,13 25 44 54 67 05,3
03/15/2017,16 30 41 48 53 16,3
03/11/2017,01 26 41 50 57 11,2
03/08/2017,23 33 42 46 59 04,2
03/04/2017,02 18 19 22 63 19,3
03/01/2017,10 16 40 52 55 17,10
03/01/2017,10 16 40 52 55 17,10
02/25/2017,06 32 47 62 65 19,2
02/22/2017,10 13 28 52 61 02,2
02/18/2017,03 07 09 31 33 20,3
02/15/2017,05 28 33 38 42 19,2
02/11/2017,05 09 17 37 64 02,2
02/08/2017,14 20 42 49 66 05,2
02/04/2017,06 13 16 17 52 25,3
02/01/2017,09 43 57 60 64 10,2
01/28/2017,12 20 39 49 69 17,2
01/25/2017,18 28 62 66 68 22,2
01/21/2017,23 25 45 52 67 02,2
01/18/2017,09 40 41 53 58 12,2
01/14/2017,23 55 59 64 69 13,5
01/11/2017,01 03 13 16 43 24,2
01/07/2017,03 12 24 37 63 10,2
01/04/2017,16 17 29 41 42 04,3
12/31/2016,01 03 28 57 67 09,2
12/28/2016,16 23 30 44 58 04,2
12/24/2016,28 38 42 51 52 21,2
12/21/2016,25 33 40 54 68 03,5
12/17/2016,01 08 16 40 48 10,2
12/14/2016,18 26 37 39 66 15,3
12/10/2016,12 21 32 44 66 15,2
12/07/2016,41 48 49 53 64 20,2
12/03/2016,08 10 26 27 33 22,2
11/30/2016,03 14 18 25 45 07,2
11/26/2016,17 19 21 37 44 16,2
11/23/2016,07 32 41 47 61 03,2
11/19/2016,16 24 28 43 61 21,2
11/16/2016,28 41 61 63 65 07,2
11/12/2016,08 17 20 27 52 24,2
11/09/2016,01 25 28 31 54 02,2
11/05/2016,21 31 50 51 69 08,3
11/02/2016,13 18 37 54 61 05,2
10/29/2016,19 20 21 42 48 23,3
10/26/2016,02 03 16 48 56 24,2
10/22/2016,01 28 33 55 56 22,2
10/19/2016,10 16 38 43 63 23,2
10/15/2016,23 49 57 64 67 20,2
10/12/2016,16 30 34 37 44 16,2
10/08/2016,03 54 61 64 68 09,2
10/05/2016,08 18 27 29 60 15,2
10/01/2016,02 12 50 61 64 01,2
09/28/2016,30 38 52 53 62 01,3
09/24/2016,07 15 20 29 41 22,2
09/21/2016,01 28 63 67 69 17,4
09/17/2016,09 19 51 55 62 14,4
09/14/2016,10 11 23 28 31 14,2
09/10/2016,03 17 49 55 68 08,2
09/07/2016,22 23 29 33 55 21,2
09/03/2016,07 39 50 59 67 25,3
08/31/2016,05 10 24 56 61 12,2
08/27/2016,04 32 48 49 63 20,2
08/24/2016,09 11 25 64 65 16,3
08/20/2016,03 06 21 60 68 24,2
08/17/2016,33 44 49 50 52 08,3
08/13/2016,38 44 60 64 69 06,2
08/10/2016,23 56 61 64 67 12,5
08/06/2016,20 33 36 47 52 12,3
08/03/2016,09 11 27 66 67 02,3
07/30/2016,11 17 21 23 32 05,2
07/27/2016,10 47 50 65 68 24,2
07/23/2016,05 07 23 35 39 11,2
07/20/2016,06 25 35 58 66 05,2
07/16/2016,11 17 40 50 62 26,2
07/13/2016,03 15 29 54 57 10,3
07/09/2016,10 28 32 61 64 12,3
07/06/2016,02 24 31 57 66 18,3
07/02/2016,10 34 39 59 63 04,2
06/29/2016,23 29 37 60 64 06,2
