Position X, Position Y,Position Z,Location
32.0,15.0,4.4,18
8.0,17.0,1.5,9
4.0,13.0,4.4,13
39.0,16.0,4.4,18
34.0,12.0,7.6,15
25.0,28.0,4.4,12
8.0,25.0,4.4,3
27.0,9.0,4.4,0
38.0,7.0,7.6,15
20.0,8.0,7.6,1
8.0,12.0,1.5,9
39.0,26.0,4.4,20
21.0,22.0,4.4,10
36.0,9.0,7.6,15
26.0,25.0,4.4,12
5.0,20.0,7.6,19
8.0,10.0,1.5,9
38.0,16.0,7.6,15
23.0,24.0,4.4,10
41.0,15.0,7.6,15
49.0,8.0,1.5,11
5.0,17.0,7.6,14
3.0,8.0,7.6,1
15.0,21.0,7.6,19
9.0,15.0,7.6,8
4.0,8.0,4.4,0
46.0,10.0,1.5,11
40.0,26.0,4.4,20
36.0,11.0,4.4,18
44.0,28.0,4.4,20
21.0,8.0,4.4,0
9.0,19.0,4.4,4
37.0,19.0,4.4,18
22.0,22.0,4.4,10
40.0,20.0,1.5,11
4.0,9.0,7.6,1
12.0,8.0,4.4,0
17.0,22.0,4.4,10
45.0,28.0,4.4,20
37.0,8.0,1.5,11
6.0,18.0,7.6,14
12.0,22.0,4.4,10
38.0,14.0,1.5,11
5.0,13.0,7.6,14
42.0,20.0,4.4,18
46.0,22.0,4.4,20
13.0,20.0,7.6,19
6.0,9.0,1.5,2
10.0,20.0,1.5,17
1.0,19.0,7.6,19
8.0,20.0,4.4,4
28.0,26.0,4.4,12
42.0,19.0,4.4,18
37.0,11.0,7.6,15
41.0,14.0,1.5,11
20.0,25.0,4.4,10
25.0,9.0,1.5,2
32.0,14.0,7.6,15
48.0,7.0,1.5,11
40.0,20.0,4.4,18
1.0,12.0,7.6,14
22.0,17.0,4.4,5
6.0,10.0,7.6,14
5.0,7.0,7.6,1
14.0,7.0,1.5,2
3.0,11.0,4.4,13
27.0,24.0,4.4,12
37.0,10.0,7.6,15
37.0,19.0,7.6,15
46.0,12.0,1.5,11
21.0,17.0,4.4,5
17.0,19.0,4.4,4
21.0,23.0,4.4,10
35.0,13.0,7.6,15
30.0,9.0,7.6,15
34.0,16.0,4.4,18
30.0,20.0,1.5,17
13.0,7.0,1.5,2
31.0,9.0,7.6,15
42.0,18.0,4.4,18
10.0,19.0,1.5,17
46.0,18.0,1.5,11
42.0,17.0,7.6,15
24.0,17.0,4.4,5
22.0,8.0,1.5,2
8.0,11.0,4.4,7
49.0,18.0,1.5,11
3.0,20.0,7.6,19
50.0,10.0,1.5,11
16.0,7.0,1.5,2
2.0,20.0,7.6,19
46.0,28.0,4.4,20
33.0,19.0,1.5,17
33.0,16.0,4.4,18
7.0,18.0,7.6,14
11.0,20.0,7.6,19
39.0,28.0,4.4,20
46.0,14.0,1.5,11
26.0,8.0,4.4,0
33.0,17.0,4.4,18
31.0,7.0,7.6,15
16.0,21.0,7.6,19
14.0,23.0,4.4,10
1.0,9.0,7.6,1
4.0,9.0,1.5,2
7.0,14.0,7.6,14
24.0,16.0,4.4,5
49.0,20.0,1.5,11
39.0,19.0,4.4,18
26.0,9.0,7.6,1
38.0,18.0,1.5,11
36.0,18.0,7.6,15
37.0,9.0,4.4,18
40.0,28.0,4.4,20
3.0,23.0,4.4,3
35.0,20.0,1.5,11
48.0,12.0,1.5,11
33.0,8.0,7.6,15
17.0,23.0,4.4,10
29.0,20.0,7.6,19
14.0,26.0,4.4,10
20.0,23.0,4.4,10
28.0,18.0,4.4,5
26.0,23.0,4.4,12
5.0,10.0,4.4,13
3.0,10.0,4.4,13
18.0,8.0,4.4,0
15.0,19.0,4.4,4
42.0,26.0,4.4,20
6.0,10.0,4.4,13
41.0,15.0,4.4,18
47.0,27.0,4.4,20
8.0,9.0,4.4,0
1.0,8.0,7.6,1
38.0,17.0,7.6,15
7.0,15.0,7.6,14
48.0,16.0,1.5,11
6.0,19.0,1.5,17
39.0,12.0,7.6,15
2.0,8.0,1.5,2
32.0,19.0,4.4,18
40.0,14.0,4.4,18
3.0,9.0,7.6,1
40.0,23.0,4.4,20
